img_name,url
/data/RTR/images/bottom/JH8.jpg,http://www.renttherunway.com/shop/designers/joseph/ramsay_chevron_check_skirt
/data/RTR/images/bottom/TT289.jpg,http://www.renttherunway.com/shop/designers/trina_turk/dulcito_pants
/data/RTR/images/bottom/TH117.jpg,http://www.renttherunway.com/shop/designers/theory/treeca_2_pants
/data/RTR/images/bottom/MDS7.jpg,http://www.renttherunway.com/shop/designers/mds_stripes/knit_tiered_button_front_skirt
/data/RTR/images/bottom/PBO13.jpg,http://www.renttherunway.com/shop/designers/patbo/yellow_floral_ruffle_hem_shorts
/data/RTR/images/bottom/PPL24.jpg,http://www.renttherunway.com/shop/designers/peter_pilotto/blue_striped_coulottes
/data/RTR/images/bottom/AMR55.jpg,http://www.renttherunway.com/shop/designers/amur/grey_zola_skirt
/data/RTR/images/bottom/PVL3.jpg,http://www.renttherunway.com/shop/designers/perseverance_london/floral_smocked_skirt
/data/RTR/images/bottom/VIN72.jpg,http://www.renttherunway.com/shop/designers/vince/gardenia_floral_pleated_skirt
/data/RTR/images/bottom/BGT5.jpg,http://www.renttherunway.com/shop/designers/bagatelle/grey_leather_midi_skirt
/data/RTR/images/bottom/RJP2.jpg,http://www.renttherunway.com/shop/designers/rejina_pyo/ella_skirt
/data/RTR/images/bottom/RT205.jpg,http://www.renttherunway.com/shop/designers/rebecca_taylor/scalloped_crop_pants
/data/RTR/images/bottom/PLL38.jpg,http://www.renttherunway.com/shop/designers/31_phillip_lim/plaid_tailored_pants
/data/RTR/images/bottom/MRR10.jpg,http://www.renttherunway.com/shop/designers/moon_river/black_wide_leg_tie_waist_pant__tie_waist_pant
/data/RTR/images/bottom/SB94.jpg,http://www.renttherunway.com/shop/designers/see_by_chloe/adjustable_button_trousers
/data/RTR/images/bottom/BDK86.jpg,http://www.renttherunway.com/shop/designers/bb_dakota/faux_suede_violet_leggings
/data/RTR/images/bottom/TB271.jpg,http://www.renttherunway.com/shop/designers/tibi/red_silk_faille_full_skirt
/data/RTR/images/bottom/RMB46.jpg,http://www.renttherunway.com/shop/designers/ramy_brook/olive_allyn_pants
/data/RTR/images/bottom/GRL73.jpg,http://www.renttherunway.com/shop/designers/greylin/jamison_joggers
/data/RTR/images/bottom/COH16.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/demy_crop_flare_jeans
/data/RTR/images/bottom/SJYP4.jpg,http://www.renttherunway.com/shop/designers/sjyp/dark_blue_wide_leg_jeans
/data/RTR/images/bottom/LAF7.jpg,http://www.renttherunway.com/shop/designers/lafayette_148_new_york/manhattan_slim_pants
/data/RTR/images/bottom/COH3.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/maternity_emerson_slim_fit_boyfriend_ankle_jean__over_belly_band
/data/RTR/images/bottom/COH8.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/leah_cargo_pants
/data/RTR/images/bottom/VIN122.jpg,http://www.renttherunway.com/shop/designers/vince/navy_chino_pants
/data/RTR/images/bottom/ML288.jpg,http://www.renttherunway.com/shop/designers/milly/italian_cady_culotte_pants
/data/RTR/images/bottom/LAF8.jpg,http://www.renttherunway.com/shop/designers/lafayette_148_new_york/mercer_pants
/data/RTR/images/bottom/SAN25.jpg,http://www.renttherunway.com/shop/designers/sanctuary/pink_flare_pants
/data/RTR/images/bottom/JWG34.jpg,http://www.renttherunway.com/shop/designers/jason_wu_collection/star_white_multi_printed_crepe_pant
/data/RTR/images/bottom/CLUB11.jpg,http://www.renttherunway.com/shop/designers/club_monaco/jessyn_pants
/data/RTR/images/bottom/FTW7.jpg,http://www.renttherunway.com/shop/designers/fifteen_twenty/striped_ankle_slit_pants
/data/RTR/images/bottom/JR32.jpg,http://www.renttherunway.com/shop/designers/junarose/flower_printed_mesh_skirt
/data/RTR/images/bottom/DVF259.jpg,http://www.renttherunway.com/shop/designers/diane_von_furstenberg/sheer_lurex_klara_skirt
/data/RTR/images/bottom/SAN29.jpg,http://www.renttherunway.com/shop/designers/sanctuary/fast_track_zip_pants
/data/RTR/images/bottom/DLD5.jpg,http://www.renttherunway.com/shop/designers/dl1961/emma_jeans
/data/RTR/images/bottom/TT338.jpg,http://www.renttherunway.com/shop/designers/trina_turk/white_north_beach_pants
/data/RTR/images/bottom/OS42.jpg,http://www.renttherunway.com/shop/designers/osman/blue_gulia_trousers
/data/RTR/images/bottom/SW429.jpg,http://www.renttherunway.com/shop/designers/slate__willow/navy_plaid_trousers
/data/RTR/images/bottom/JSN24.jpg,http://www.renttherunway.com/shop/designers/josie_natori/indigo_denim_shorts_with_ruffle
/data/RTR/images/bottom/RT149.jpg,http://www.renttherunway.com/shop/designers/rebecca_taylor/black_floral_print_twill_pant
/data/RTR/images/bottom/PNK12.jpg,http://www.renttherunway.com/shop/designers/pinko/eugenio_pants
/data/RTR/images/bottom/BECK10.jpg,http://www.renttherunway.com/shop/designers/becken/relaxed_crop_culottes
/data/RTR/images/bottom/AMO4.jpg,http://www.renttherunway.com/shop/designers/amo/loverboy_jeans
/data/RTR/images/bottom/NL106.jpg,http://www.renttherunway.com/shop/designers/nanette_lepore/black_spice_pants
/data/RTR/images/bottom/BM517.jpg,http://www.renttherunway.com/shop/designers/badgley_mischka/pleated_waist_skirt_in_yellow_tack_on_secure_belt
/data/RTR/images/bottom/RM84.jpg,http://www.renttherunway.com/shop/designers/rebecca_minkoff/amaya_skirt
/data/RTR/images/bottom/DLM77.jpg,http://www.renttherunway.com/shop/designers/derek_lam/slim_tuxedo_stripe_trousers
/data/RTR/images/bottom/DLD9.jpg,http://www.renttherunway.com/shop/designers/dl1961/black_emma_skinny_jeans
/data/RTR/images/bottom/NM195.jpg,http://www.renttherunway.com/shop/designers/nicole_miller/rima_skirt
/data/RTR/images/bottom/BSH36.jpg,http://www.renttherunway.com/shop/designers/bash/blue_printed_wrap_skirt
/data/RTR/images/bottom/GAM1.jpg,http://www.renttherunway.com/shop/designers/good_american/good_legs_raw_edge_jeans
/data/RTR/images/bottom/WVG50.jpg,http://www.renttherunway.com/shop/designers/waverly_grey/carolina_pants
/data/RTR/images/bottom/RG8.jpg,http://www.renttherunway.com/shop/designers/rosetta_getty/pull_on_cropped_flare_pants
/data/RTR/images/bottom/COH1.jpg,http://www.renttherunway.com/shop/designers/citizens_of_humanity/maternity_skyler_loose_jean_short
/data/RTR/images/bottom/CUP13.jpg,http://www.renttherunway.com/shop/designers/cupcakes_and_cashmere/sequin_legging
/data/RTR/images/bottom/SLN28.jpg,http://www.renttherunway.com/shop/designers/solace_london/delphine_trousers
/data/RTR/images/bottom/SCS90.jpg,http://www.renttherunway.com/shop/designers/scotch__soda/silky_printed_shorts
/data/RTR/images/bottom/ALC90.jpg,http://www.renttherunway.com/shop/designers/alc/dane_skirt
/data/RTR/images/bottom/JBR8.jpg,http://www.renttherunway.com/shop/designers/j_brand/light_blue_blend_surrey_lane_maternity_skinny_jean
/data/RTR/images/bottom/LAV22.jpg,http://www.renttherunway.com/shop/designers/la_vie_rebecca_taylor/belle_bouqt_ines_jeans
/data/RTR/images/bottom/OTS5.jpg,http://www.renttherunway.com/shop/designers/one_teaspoon/evil_eye_2020_high_waist_denim_skirt
